Company;Country;Platform;Bachelor;Masters;PhD;Communication;English;German;Statistics;ML;DL;AI;Optimization;Analytics;Visualization;Python;R;Matlab;SAS;SQL;Spark;Hadoop;Docker;Keras;Tensorflow;Pytorch;NLP;AWS;Azure
Emersys;Austria;Linkedin;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Exputec;Austria;StackOverflow;0;1;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Komoot;Germany;StackOverflow;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;0;1;1;1;0;1;0
Audatic;Germany;StackOverflow;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Eurowings Digital;Germany;StackOverflow;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0
IAV;Germany;StackOverflow;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0
PAIR Finance;Germany;StackOverflow;0;0;0;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Reply;Germany;Glassdoor;1;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Wargaming;Germany;Glassdoor;1;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
Brainlab;Germany;Glassdoor;1;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
REE;Germany;Glassdoor;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
Brunel;Germany;Glassdoor;1;0;0;0;1;1;1;1;0;0;0;1;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0
Real,-;Germany;Glassdoor;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0
JUST ADD AI;Germany;Glassdoor;0;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0
Siemens Healthineers;Germany;Glassdoor;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0
JetBrains;Germany;Glassdoor;1;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Wooga;Germany;Glassdoor;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
ORAYLIS;Germany;Glassdoor;1;0;0;0;1;1;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
Publicis Groupe;Germany;Glassdoor;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
BioNTech;Germany;Glassdoor;1;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
FlintData;Germany;Glassdoor;1;0;0;0;0;0;1;1;0;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0
Signal Iduna;Germany;Glassdoor;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0
Koniag;Germany;Glassdoor;0;1;0;1;0;0;0;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0
Trakken Web Services;Germany;Glassdoor;1;0;0;0;1;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Codepan;Germany;Glassdoor;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0
EDEKA Handelsgesellschaft Südwest;Germany;Glassdoor;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
PATRIZIA;Germany;Glassdoor;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Abbvie;Germany;Glassdoor;1;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Hundred;Germany;Glassdoor;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0
PALTRON;Germany;Glassdoor;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bechtle;Germany;Glassdoor;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
NEW YORKER Group-Services;Germany;Glassdoor;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;0
Hanwha Q Cells;Germany;Glassdoor;0;1;0;1;1;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
solexas;Germany;Glassdoor;1;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
xValue;Germany;Glassdoor;1;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0
Stiftung Neue Verantwortung;Germany;Glassdoor;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0
Siemens;Germany;Glassdoor;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0
Clue;Germany;Glassdoor;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
targens;Germany;Glassdoor;1;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0
P3 group;Germany;Glassdoor;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Cluster Reply;Germany;Glassdoor;1;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
CosmosDirekt;Germany;Glassdoor;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
Talentschmiede Unternehmensberatung;Germany;Glassdoor;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
AKKA Technologies;Germany;Glassdoor;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
Porsche;Germany;Glassdoor;1;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0
